bb_measure_code	bb_measure_item_code	begin_year	end_year	min_score	max_score	moniker
quantitative	ageScorePctRank	2011	9999	26.0	75.0	yellow
quantitative	ageScorePctRank	2011	9999	75.0	125.0	green
quantitative	ageScorePctRank	2011	9999	125.0	999.0	blue
quantitative	ageScoreStanRank	2011	9999	0.0	4.0	red
quantitative	ageScoreStanRank	2011	9999	4.0	6.0	yellow
quantitative	ageScoreStanRank	2011	9999	6.0	9.0	green
quantitative	ageScoreStanRank	2011	9999	9.0	10.0	blue
quantitative	ageStdScore	2011	9999	0.0	89.0	red
quantitative	ageStdScore	2011	9999	89.0	113.0	yellow
quantitative	ageStdScore	2011	9999	113.0	125.0	green
quantitative	ageStdScore	2011	9999	125.0	999.0	blue
quantitative	grdScorePctRank	2011	9999	0.0	26.0	red
quantitative	grdScorePctRank	2011	9999	26.0	75.0	yellow
quantitative	grdScorePctRank	2011	9999	75.0	125.0	green
quantitative	grdScorePctRank	2011	9999	125.0	999.0	blue
quantitative	grdScoreStanRank	2011	9999	0.0	4.0	red
quantitative	grdScoreStanRank	2011	9999	4.0	6.0	yellow
quantitative	grdScoreStanRank	2011	9999	6.0	9.0	green
quantitative	grdScoreStanRank	2011	9999	9.0	10.0	blue
verbal	ageScorePctRank	2011	9999	0.0	26.0	red
verbal	ageScorePctRank	2011	9999	26.0	75.0	yellow
verbal	ageScorePctRank	2011	9999	75.0	125.0	green
verbal	ageScorePctRank	2011	9999	125.0	999.0	blue
verbal	ageScoreStanRank	2011	9999	0.0	4.0	red
verbal	ageScoreStanRank	2011	9999	4.0	6.0	yellow
verbal	ageScoreStanRank	2011	9999	6.0	9.0	green
verbal	ageScoreStanRank	2011	9999	9.0	10.0	blue
verbal	ageStdScore	2011	9999	0.0	89.0	red
verbal	ageStdScore	2011	9999	89.0	113.0	yellow
verbal	ageStdScore	2011	9999	113.0	125.0	green
verbal	ageStdScore	2011	9999	125.0	999.0	blue
verbal	grdScorePctRank	2011	9999	0.0	26.0	red
verbal	grdScorePctRank	2011	9999	26.0	75.0	yellow
verbal	grdScorePctRank	2011	9999	75.0	125.0	green
verbal	grdScorePctRank	2011	9999	125.0	999.0	blue
verbal	grdScoreStanRank	2011	9999	0.0	4.0	red
verbal	grdScoreStanRank	2011	9999	4.0	6.0	yellow
verbal	grdScoreStanRank	2011	9999	6.0	9.0	green
verbal	grdScoreStanRank	2011	9999	9.0	10.0	blue
