bb_measure_code	period_code	grade_code	color_name	min_score	max_score
kReadAccuracy	ap1	7	yellow	15.0	84.0
kReadAccuracy	ap1	7	green	84.0	9999.0
kReadAccuracy	ap2	7	red	0.0	15.0
kReadAccuracy	ap2	7	yellow	15.0	84.0
kReadAccuracy	ap2	7	green	84.0	9999.0
kReadAccuracy	ap3	7	red	0.0	15.0
kReadAccuracy	ap3	7	yellow	15.0	84.0
kReadAccuracy	ap3	7	green	84.0	9999.0
kReadFluency	ap1	7	red	0.0	15.0
kReadFluency	ap1	7	yellow	15.0	84.0
kReadFluency	ap1	7	green	84.0	9999.0
kReadFluency	ap2	7	red	0.0	15.0
kReadFluency	ap2	7	yellow	15.0	84.0
kReadFluency	ap2	7	green	84.0	9999.0
kReadFluency	ap3	7	red	0.0	15.0
kReadFluency	ap3	7	yellow	15.0	84.0
kReadFluency	ap3	7	green	84.0	9999.0
mazeAdjScore	ap1	7	red	0.0	15.0
mazeAdjScore	ap1	7	yellow	15.0	84.0
mazeAdjScore	ap1	7	green	84.0	9999.0
mazeAdjScore	ap2	7	red	0.0	15.0
mazeAdjScore	ap2	7	yellow	15.0	84.0
mazeAdjScore	ap2	7	green	84.0	9999.0
mazeAdjScore	ap3	7	red	0.0	15.0
mazeAdjScore	ap3	7	yellow	15.0	84.0
mazeAdjScore	ap3	7	green	84.0	9999.0
mazePercent	ap1	7	red	0.0	15.0
