bb_measure_code	period_code	grade_code	color_name	min_score	max_score
wordAnalysisStandard	ap2	2	green	84.0	9999.0
wordAnalysisStandard	ap3	2	red	0.0	15.0
wordAnalysisStandard	ap3	2	yellow	15.0	84.0
wordAnalysisStandard	ap3	2	green	84.0	9999.0
kReadAccuracy	ap1	3	red	0.0	15.0
kReadAccuracy	ap1	3	yellow	15.0	84.0
kReadAccuracy	ap1	3	green	84.0	9999.0
kReadAccuracy	ap2	3	red	0.0	15.0
kReadAccuracy	ap2	3	yellow	15.0	84.0
kReadAccuracy	ap2	3	green	84.0	9999.0
kReadAccuracy	ap3	3	red	0.0	15.0
kReadAccuracy	ap3	3	yellow	15.0	84.0
kReadAccuracy	ap3	3	green	84.0	9999.0
kReadFluency	ap1	3	red	0.0	15.0
kReadFluency	ap1	3	yellow	15.0	84.0
kReadFluency	ap1	3	green	84.0	9999.0
kReadFluency	ap2	3	red	0.0	15.0
kReadFluency	ap2	3	yellow	15.0	84.0
kReadFluency	ap2	3	green	84.0	9999.0
kReadFluency	ap3	3	red	0.0	15.0
kReadFluency	ap3	3	yellow	15.0	84.0
kReadFluency	ap3	3	green	84.0	9999.0
mazeAdjScore	ap1	3	red	0.0	15.0
mazeAdjScore	ap1	3	yellow	15.0	84.0
mazeAdjScore	ap1	3	green	84.0	9999.0
mazeAdjScore	ap2	3	red	0.0	15.0
mazeAdjScore	ap2	3	yellow	15.0	84.0
mazeAdjScore	ap2	3	green	84.0	9999.0
mazeAdjScore	ap3	3	red	0.0	15.0
mazeAdjScore	ap3	3	yellow	15.0	84.0
mazeAdjScore	ap3	3	green	84.0	9999.0
mazePercent	ap1	3	red	0.0	15.0
mazePercent	ap1	3	yellow	15.0	84.0
mazePercent	ap1	3	green	84.0	9999.0
mazePercent	ap2	3	red	0.0	15.0
mazePercent	ap2	3	yellow	15.0	84.0
mazePercent	ap2	3	green	84.0	9999.0
mazePercent	ap3	3	red	0.0	15.0
mazePercent	ap3	3	yellow	15.0	84.0
mazePercent	ap3	3	green	84.0	9999.0
mazeStandardScore	ap1	3	red	0.0	15.0
mazeStandardScore	ap1	3	yellow	15.0	84.0
mazeStandardScore	ap1	3	green	84.0	9999.0
mazeStandardScore	ap2	3	red	0.0	15.0
mazeStandardScore	ap2	3	yellow	15.0	84.0
mazeStandardScore	ap2	3	green	84.0	9999.0
mazeStandardScore	ap3	3	red	0.0	15.0
mazeStandardScore	ap3	3	yellow	15.0	84.0
mazeStandardScore	ap3	3	green	84.0	9999.0
readCompPercent	ap1	3	red	0.0	15.0
readCompPercent	ap1	3	yellow	15.0	84.0
readCompPercent	ap1	3	green	84.0	9999.0
readCompPercent	ap2	3	red	0.0	15.0
readCompPercent	ap2	3	yellow	15.0	84.0
readCompPercent	ap2	3	green	84.0	9999.0
readCompPercent	ap3	3	red	0.0	15.0
readCompPercent	ap3	3	yellow	15.0	84.0
readCompPercent	ap3	3	green	84.0	9999.0
spellPercent	ap1	3	red	0.0	15.0
spellPercent	ap1	3	yellow	15.0	84.0
spellPercent	ap1	3	green	84.0	9999.0
spellPercent	ap2	3	red	0.0	15.0
spellPercent	ap2	3	yellow	15.0	84.0
spellPercent	ap2	3	green	84.0	9999.0
spellPercent	ap3	3	red	0.0	15.0
spellPercent	ap3	3	yellow	15.0	84.0
spellPercent	ap3	3	green	84.0	9999.0
success	ap1	3	red	0.0	15.0
success	ap1	3	yellow	15.0	84.0
success	ap1	3	green	84.0	9999.0
success	ap2	3	red	0.0	15.0
success	ap2	3	yellow	15.0	84.0
success	ap2	3	green	84.0	9999.0
success	ap3	3	red	0.0	15.0
success	ap3	3	yellow	15.0	84.0
success	ap3	3	green	84.0	9999.0
vocPercent	ap1	3	red	0.0	15.0
vocPercent	ap1	3	yellow	15.0	84.0
vocPercent	ap1	3	green	84.0	9999.0
vocPercent	ap2	3	red	0.0	15.0
vocPercent	ap2	3	yellow	15.0	84.0
vocPercent	ap2	3	green	84.0	9999.0
vocPercent	ap3	3	red	0.0	15.0
vocPercent	ap3	3	yellow	15.0	84.0
vocPercent	ap3	3	green	84.0	9999.0
vocRawScore	ap1	3	red	0.0	15.0
vocRawScore	ap1	3	yellow	15.0	84.0
vocRawScore	ap1	3	green	84.0	9999.0
vocRawScore	ap2	3	red	0.0	15.0
vocRawScore	ap2	3	yellow	15.0	84.0
vocRawScore	ap2	3	green	84.0	9999.0
vocRawScore	ap3	3	red	0.0	15.0
vocRawScore	ap3	3	yellow	15.0	84.0
vocRawScore	ap3	3	green	84.0	9999.0
wordAnalysisPercent	ap1	3	red	0.0	15.0
wordAnalysisPercent	ap1	3	yellow	15.0	84.0
wordAnalysisPercent	ap1	3	green	84.0	9999.0
wordAnalysisPercent	ap2	3	red	0.0	15.0
wordAnalysisPercent	ap2	3	yellow	15.0	84.0
wordAnalysisPercent	ap2	3	green	84.0	9999.0
wordAnalysisPercent	ap3	3	red	0.0	15.0
wordAnalysisPercent	ap3	3	yellow	15.0	84.0
wordAnalysisPercent	ap3	3	green	84.0	9999.0
wordAnalysisStandard	ap1	3	red	0.0	15.0
wordAnalysisStandard	ap1	3	yellow	15.0	84.0
wordAnalysisStandard	ap1	3	green	84.0	9999.0
wordAnalysisStandard	ap2	3	red	0.0	15.0
wordAnalysisStandard	ap2	3	yellow	15.0	84.0
wordAnalysisStandard	ap2	3	green	84.0	9999.0
wordAnalysisStandard	ap3	3	red	0.0	15.0
wordAnalysisStandard	ap3	3	yellow	15.0	84.0
wordAnalysisStandard	ap3	3	green	84.0	9999.0
kReadAccuracy	ap1	4	red	0.0	15.0
kReadAccuracy	ap1	4	yellow	15.0	84.0
kReadAccuracy	ap1	4	green	84.0	9999.0
kReadAccuracy	ap2	4	red	0.0	15.0
kReadAccuracy	ap2	4	yellow	15.0	84.0
kReadAccuracy	ap2	4	green	84.0	9999.0
kReadAccuracy	ap3	4	red	0.0	15.0
kReadAccuracy	ap3	4	yellow	15.0	84.0
kReadAccuracy	ap3	4	green	84.0	9999.0
kReadFluency	ap1	4	red	0.0	15.0
kReadFluency	ap1	4	yellow	15.0	84.0
kReadFluency	ap1	4	green	84.0	9999.0
kReadFluency	ap2	4	red	0.0	15.0
kReadFluency	ap2	4	yellow	15.0	84.0
kReadFluency	ap2	4	green	84.0	9999.0
kReadFluency	ap3	4	red	0.0	15.0
kReadFluency	ap3	4	yellow	15.0	84.0
kReadFluency	ap3	4	green	84.0	9999.0
mazeAdjScore	ap1	4	red	0.0	15.0
mazeAdjScore	ap1	4	yellow	15.0	84.0
mazeAdjScore	ap1	4	green	84.0	9999.0
mazeAdjScore	ap2	4	red	0.0	15.0
mazeAdjScore	ap2	4	yellow	15.0	84.0
mazeAdjScore	ap2	4	green	84.0	9999.0
mazeAdjScore	ap3	4	red	0.0	15.0
mazeAdjScore	ap3	4	yellow	15.0	84.0
mazeAdjScore	ap3	4	green	84.0	9999.0
mazePercent	ap1	4	red	0.0	15.0
mazePercent	ap1	4	yellow	15.0	84.0
mazePercent	ap1	4	green	84.0	9999.0
mazePercent	ap2	4	red	0.0	15.0
mazePercent	ap2	4	yellow	15.0	84.0
mazePercent	ap2	4	green	84.0	9999.0
mazePercent	ap3	4	red	0.0	15.0
mazePercent	ap3	4	yellow	15.0	84.0
mazePercent	ap3	4	green	84.0	9999.0
mazeStandardScore	ap1	4	red	0.0	15.0
mazeStandardScore	ap1	4	yellow	15.0	84.0
mazeStandardScore	ap1	4	green	84.0	9999.0
mazeStandardScore	ap2	4	red	0.0	15.0
mazeStandardScore	ap2	4	yellow	15.0	84.0
mazeStandardScore	ap2	4	green	84.0	9999.0
mazeStandardScore	ap3	4	red	0.0	15.0
mazeStandardScore	ap3	4	yellow	15.0	84.0
mazeStandardScore	ap3	4	green	84.0	9999.0
readCompPercent	ap1	4	red	0.0	15.0
readCompPercent	ap1	4	yellow	15.0	84.0
readCompPercent	ap1	4	green	84.0	9999.0
readCompPercent	ap2	4	red	0.0	15.0
readCompPercent	ap2	4	yellow	15.0	84.0
readCompPercent	ap2	4	green	84.0	9999.0
readCompPercent	ap3	4	red	0.0	15.0
readCompPercent	ap3	4	yellow	15.0	84.0
readCompPercent	ap3	4	green	84.0	9999.0
spellPercent	ap1	4	red	0.0	15.0
spellPercent	ap1	4	yellow	15.0	84.0
spellPercent	ap1	4	green	84.0	9999.0
spellPercent	ap2	4	red	0.0	15.0
spellPercent	ap2	4	yellow	15.0	84.0
spellPercent	ap2	4	green	84.0	9999.0
spellPercent	ap3	4	red	0.0	15.0
spellPercent	ap3	4	yellow	15.0	84.0
spellPercent	ap3	4	green	84.0	9999.0
success	ap1	4	red	0.0	15.0
success	ap1	4	yellow	15.0	84.0
success	ap1	4	green	84.0	9999.0
success	ap2	4	red	0.0	15.0
success	ap2	4	yellow	15.0	84.0
success	ap2	4	green	84.0	9999.0
success	ap3	4	red	0.0	15.0
success	ap3	4	yellow	15.0	84.0
success	ap3	4	green	84.0	9999.0
vocPercent	ap1	4	red	0.0	15.0
vocPercent	ap1	4	yellow	15.0	84.0
vocPercent	ap1	4	green	84.0	9999.0
vocPercent	ap2	4	red	0.0	15.0
vocPercent	ap2	4	yellow	15.0	84.0
vocPercent	ap2	4	green	84.0	9999.0
vocPercent	ap3	4	red	0.0	15.0
vocPercent	ap3	4	yellow	15.0	84.0
vocPercent	ap3	4	green	84.0	9999.0
vocRawScore	ap1	4	red	0.0	15.0
vocRawScore	ap1	4	yellow	15.0	84.0
vocRawScore	ap1	4	green	84.0	9999.0
vocRawScore	ap2	4	red	0.0	15.0
vocRawScore	ap2	4	yellow	15.0	84.0
vocRawScore	ap2	4	green	84.0	9999.0
vocRawScore	ap3	4	red	0.0	15.0
vocRawScore	ap3	4	yellow	15.0	84.0
vocRawScore	ap3	4	green	84.0	9999.0
wordAnalysisPercent	ap1	4	red	0.0	15.0
